,Botanical,Common,Use
172,Strychnos nux vomica seeds ,Kuchla ,"Tonic, Aphrodisiac "
173,Swertia chirata plant ,Chireta ,Anti-diabetic
174,Symplocos racemosa bark ,Lodhra ,Urinary tonic
175,Taraxacum officinale herb ,Kanphul ,Hepatic stimulant.
176,Tecomella undulata bark ,Rohu ,Astringent
177,Tephrosia purpurea plant ,Sarphunkha ,Antioxidant
178,Terminalia arjuna bark ,Arjuna ,"Cardio vascular support, Antiarrhythemic "
179,Terminalia belerica fruit ,Bahera ,Detoxificant
180,Terminalia chebula fruit ,Harir ,Detoxificant
181,Tinospora cordifolia root ,Guduchi ,Febrifuge
182,Trachyspermum ammi fruit ,Ajowan ,Carminative
183,Tribulus terrestris fruit ,Gokhru ,"Spermatogenic, Ovogenesis stimulator "
184,Trichosanthes dioica leaf ,Patol patra ,Anti-diabetic
185,Trigonella foenum-graecum seed ,Methi ,"Antilipemic, Anticholesteremic "
186,Trikatu ,Combination ,Increases bioavailability of drugs
187,Triphala ,Combination ,Detoxificant
188,Triticum sativum bran ,Wheat bran ,Nutritive
189,Triticum sativum germ ,Wheat germ ,For skin disease
190,Tylophora indica leaf ,Antamul ,Anti-asthmatic
191,Urginea indica bulbs ,Indian Scilla ,"Cardiac stimulant, Diuretic "
192,Valeriana wallichii root ,Tagar ,Sedative
193,Viburnum spp. bark ,Narvel ,"Uterine tonic, Emmenagogue "
194,Viola odorata flowers ,Gul banafsha ,"Astringent, Diaphoretic "
195,Vitex negundo leaf ,Nirgundi ,"Vermifuge, Antirheumatic "
196,Vitis vinifera fruit/seed ,Draksha ,Antioxidant
197,Wedelia calendulacea herb ,Bhangra ,Liver tonic
198,Withania somnifera root ,Ashwagandha ,"Immunomodulator, Antioxidant "
199,Woodfordia floribunda flowers ,Dhai-phul ,For leukorrhea
200,Zingiber officinale rhizome ,Ginger ,"Antiarthritic, Antinauseant "
